ID,datetime,Acceleration x,Acceleration y,Acceleration z,Linear Acceleration x,Linear Acceleration y,Linear Acceleration z,Gyroscope x,Gyroscope y,Gyroscope z,La,Lo,He,V,D,Ho,VA,Magnetic field x,Magnetic field y,Magnetic field z,Weather,Temperature (Celsius),UV index,Wind (m/s),Humidity (%),hate-enjoy,notpleasant_pleasant,notpleasurable_pleasurable,bad-good_feeling,Average PACES
1.0,1686250482.814081,0.88695556640625,1.198856964111328,9.713650360107422,-0.0296491840481758,0.0611529343575239,0.0055503720045089,-0.0888880267739296,0.1087863875242571,0.0379353296011686,52.28898765768302,4.980839925516661,-1.164680773429815,0.096251405775547,25.261948562148145,5.534545923865867,5.534545923865867,-22.215494791666668,7.028242111206055,-46.34296162923177,0,22.0,1.0,6.0,54.0,4.0,3.0,4.0,4.0,3.6875
1.0,1686250483.814081,1.1576426696777344,2.0262364196777347,9.227860565185546,0.756793902553618,1.1494236040860415,-0.4513687956333161,0.049670360982418,0.0226200744509696,0.2484790806969007,52.28898765768335,4.980839925516662,-1.1646807063370943,0.096251405775547,-1.0,5.534545923865868,5.534545923865868,-18.689905802408852,10.64610767364502,-47.15663146972656,0,22.0,1.0,6.0,54.0,4.0,3.0,4.0,4.0,3.6875
1.0,1686250484.814081,0.1075263977050781,1.3134187316894532,10.81476058959961,0.2245112027227878,-0.1134820792078972,1.0571578788757323,-0.1077843358119328,-0.3056819538275401,-0.8363925814628601,52.28898642488775,4.980847384106479,-1.1843793978914618,0.1531680077314376,-1.0,7.65057789289539,7.65057789289539,-15.976526896158854,8.678548812866211,-48.23511250813802,0,22.0,1.0,6.0,54.0,4.0,3.0,4.0,4.0,3.6875
1.0,1686250485.814081,-2.263642730712891,-0.6959028625488282,10.349278564453126,0.1827222244441509,-0.7429647746309639,0.8781964373588563,0.0059428413709004,0.6912764112154642,0.3156076669692993,52.28899127399378,4.980868189181291,-1.2253040932118893,0.5598067641258219,47.192374772238765,4.3633590492509775,4.3633590492509775,-8.661824544270834,10.825946807861328,-49.60318501790365,0,22.0,1.0,6.0,54.0,4.0,3.0,4.0,4.0,3.6875
1.0,1686250486.814081,-1.4120137023925785,2.659145278930664,7.683297500610352,-0.158448653742671,0.1885976285487413,-1.7310486057400705,0.5848274827003479,-0.0972828641533851,-0.000222310423851,52.28899411240011,4.98088495642251,-1.2407901687547565,1.0250498056411612,55.11036827452855,6.187705715549454,6.187705715549454,-12.34033203125,2.509661674499512,-49.95600891113281,0,22.0,1.0,6.0,54.0,4.0,3.0,4.0,4.0,3.6875
1.0,1686250487.814081,-1.490749969482422,0.5725593566894531,10.585312728881837,-1.139749397970736,-0.997818507179618,0.4389054554700851,0.5422797203063965,0.0226191505789756,1.0584713220596311,52.28899127460784,4.980909967436281,-1.2843167446553707,1.3037484884261814,78.50074363116241,5.790074304139052,5.790074304139052,-11.56963348388672,10.35045289993286,-49.64373779296875,0,22.0,1.0,6.0,54.0,4.0,3.0,4.0,4.0,3.6875
1.0,1686250488.814081,-1.162183227539063,3.614383850097656,10.086924133300782,0.4665694367140532,0.5904421886801721,0.791589623093605,-0.1305376142263412,0.6509629637002945,0.430156409740448,52.28900080193228,4.980924285551221,-1.3101462619379165,1.2964370250701636,56.18401795046494,5.077808644937069,5.077808644937069,-5.505744934082031,3.5167245864868164,-51.666046142578125,0,22.0,1.0,6.0,54.0,4.0,3.0,4.0,4.0,3.6875
1.0,1686250489.814081,-4.679568786621094,-3.013308792114258,7.451205139160157,-1.4534235374629498,-2.441915150955319,-1.759886196255684,-0.5629859119653702,-0.0041717924177646,-2.4183825254440308,52.2890035445766,4.9809390148593895,-1.3301439760252831,1.2964370250701638,66.36001330434858,4.307328762118249,4.307328762118249,-0.7556686401367188,16.91905164718628,-48.588165283203125,0,22.0,1.0,6.0,54.0,4.0,3.0,4.0,4.0,3.6875
1.0,1686250490.814081,-4.124448165893555,-0.7866142272949219,9.637483749389649,0.4021447415649891,-0.670974574238062,0.9081436344981194,-0.3222129642963409,-0.1517989337444305,-0.7810112982988358,52.289003453619614,4.980951108569146,-1.3475326718762517,1.1650555133819387,74.71440348794356,5.019626855741585,5.019626855741585,5.971954345703125,14.957865238189695,-48.67164611816406,0,22.0,1.0,6.0,54.0,4.0,3.0,4.0,4.0,3.6875
1.0,1686250491.814081,-4.243001632690429,-3.69933219909668,10.276729431152344,0.1264577329158783,-5.262647576630116,1.6295295399427416,-0.7838033735752106,-0.3843278884887695,0.0306465327739715,52.28901220728308,4.980961027571231,-1.3569305231794715,1.1438033580779845,54.56667835753901,5.393565876303909,5.393565876303909,4.664955139160156,5.831793785095215,-50.762939453125,0,22.0,1.0,6.0,54.0,4.0,3.0,4.0,4.0,3.6875
